WirelessDeviceId,SequenceNumber,TotalLength,SourceAddress,Range,Status,Event,SenVal,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,SenEvent,OAVelocity,Peakmg,RMSmg,Kurtosis,CrestFactor,Skewness,Deviation,Peak-to-Peak Displacement,LogIndex,Time,Events,PowerSrc,BatteryVolt,Time
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,246,88,null,0,0,0,27187,0,5,5,4,-21,282,16,0,1,0,5,4,3,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,1670039038,0,2,3503,1670039039
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,247,88,null,0,0,0,27250,0,5,5,4,-6,121,8,0,1,0,5,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670039937,0,2,3503,1670039938
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,248,88,null,0,0,0,27375,0,4,5,4,-1,194,6,0,0,0,6,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670040837,0,2,3503,1670040838
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,249,88,null,0,0,0,27437,0,5,5,4,-10,242,14,0,1,0,4,4,3,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670041737,0,2,3503,1670041738
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,250,88,null,0,0,0,27500,0,9,5,4,2,141,8,0,2,0,4,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670042637,0,2,3503,1670042638
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,251,88,null,0,0,0,27625,0,5,5,4,13,47,7,0,1,0,4,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670043537,0,2,3503,1670043538
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,252,88,null,0,0,0,27750,0,4,5,4,0,24,0,0,1,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670044437,0,2,3503,1670044438
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,253,88,null,0,0,0,27937,0,6,5,4,-15,457,11,0,2,0,7,5,4,0,0,0,0,0,0,7,5,4,0,0,0,0,0,0,1670045337,0,2,3503,1670045338
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,254,88,null,0,0,0,28062,0,4,4,3,-5,126,12,0,1,0,6,5,4,0,0,0,0,0,0,6,5,4,0,0,0,0,0,0,1670046237,0,2,3503,1670046238
11e4ced4-d5fd-4008-81b5-d6ddb70e495e,255,88,null,0,0,0,28187,0,7,5,4,-5,23,14,0,2,0,5,5,4,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,1670047137,0,2,3503,1670047138
